"Alias","TotalInProgressDuration","TotalIdleDuration","OverallDuration","TotalQueuedDuration","TotalDataReplicationWaitDuration","TotalSuspendedDuration","SourceProviderDuration","DestinationProviderDuration","RelinquishedDurationInTicks","TotalStalledDueToCIInTicks","TotalStalledDueToHAInTicks","TotalStalledDueToTargetCpuInTicks","TotalStalledDueToSourceCpuInTicks","TotalStalledDueToMailboxLockedDurationInTicks","TotalStalledDueToSourceProxyUnknownInTicks","TotalStalledDueToTargetProxyUnknownInTicks","SourceLatencySampleCount","AverageSourceLatency","TotalNumberOfSourceSideRemoteCalls","DestinationLatencySampleCount","AverageDestinationLatency","TotalNumberOfDestinationSideRemoteCalls","WordBreaking_TotalTimeProcessingMessagesInTicks","TotalTransientFailureDurationInTicks","TotalInProgressDurationInTicks","MailboxSizeInMB","TransferredMailboxSizeInMB","PerMoveRate","BytesTransferredInMB","PerMoveTransferRate"
"GEMHSTL1Frysavdelningenmartinserverase","00:01:30.0941794","00:07:24.8604559","2.20:14:57.0538271","15:02:49.3244100",,"2.05:03:53.2127318","00:00:02.1577573","00:00:47.6439871","4044225059",,,"0","0","0","0","0","0","0","0","0","0","0","470035","0","900941794","0,00455856323242188","0,00433063507080078","0,173044322715512","0,0425310134887695","1,69946215814659"
"GEMHSTL1VaruvardKolmartinserverase","00:00:05.1406656","00:02:35.4693383","2.20:18:48.9605848","2.15:42:55.9804198",,"04:33:17.3545870","00:00:00","00:00:00","1504849124",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","51406656","57,9182348251343","0","0","0","0"
"VFV05","00:00:05.0937977","00:02:35.2662047","2.20:18:46.1636941","2.15:42:52.2616634",,"04:33:18.2764503","00:00:00","00:00:00","1505317827",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","50937977","1221,55668544769","0","0","0","0"
"GEMUMEL1RUUMEaserverase","00:00:04.0469018","00:02:00.3596360","2.20:18:02.1636055","2.15:42:45.5118855",,"04:33:16.1358158","00:00:00","00:00:00","1164690024",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","40469018","13,9045162200928","0","0","0","0"
"GEMHSTL1IVFUtlastningmartinserverase","00:00:09.9687774","00:15:01.2831944","2.20:18:44.0074395","18:18:26.9570336",,"04:35:22.4486291","00:00:00","00:00:00","1634846329994",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","99687774","383,763315200806","0","0","0","0"
"gemhelgjour","00:00:05.0781705","00:02:35.5005667","2.20:17:58.8823432","2.15:42:13.4959577",,"04:33:09.7451845","00:00:00","00:00:00","1505630305",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","50781705","32,0900917053223","0","0","0","0"
"gemnrkl1norrkoping","00:00:04.0000368","00:02:46.2194168","2.20:17:15.4916217","2.15:41:17.7301259",,"04:33:10.0576834","00:00:00","00:00:00","1637037756",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","40000368","318,076912879944","0","0","0","0"
"receptionen04","00:00:03.4218982","00:02:28.2661369","2.20:17:35.3354202","2.15:42:18.6835118",,"04:32:48.1201402","00:00:00","00:00:00","1451098700",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","34218982","2,07133674621582","0","0","0","0"
"tan05","00:00:01.1875088","00:02:41.4693797","2.20:25:23.1020501","2.15:49:37.2937443",,"04:33:04.1201727","00:00:00","00:00:00","1605006243",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","11875088","18052,3571796417","0","0","0","0"
"isy01","00:00:01.1562565","00:02:41.4381394","2.20:19:16.7887587","2.15:43:30.4491986",,"04:33:04.6670497","00:00:00","00:00:00","1605162539",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","11562565","30,1581449508667","0","0","0","0"
"vru05","00:00:00","00:00:00","2.20:19:39.5544425","2.15:44:22.8243529",,"04:35:16.7300896","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","167,843322753906","0","NaN","0","NaN"
